Date,Description,Amount,Balance
2026-01-01,SALARY ACME LTD,3180.00,5598.55
2026-01-02,RENT WILSON PROPERTIES,-1100.00,4498.55
2026-01-03,STREAMLINE MUSIC P1A4X,-8.99,4489.56
2026-01-05,CITY WATER BOARD,-42.16,4447.40
2026-01-07,FUEL STOP 4102,-80.49,4366.91
2026-01-08,MOBILE NETWORK 20,-22.00,4344.91
2026-01-12,FUEL STOP 4102,-87.40,4257.51
2026-01-19,PHARMACY 77,-35.31,4222.20
2026-01-26,CORNER MARKET 118,-82.14,4140.06
2026-02-01,SALARY ACME LTD,3180.00,7320.06
2026-02-02,RENT WILSON PROPERTIES,-1100.00,6220.06
2026-02-03,STREAMLINE MUSIC P2A4X,-8.99,6211.07
2026-02-05,CITY WATER BOARD,-42.22,6168.85
2026-02-07,HARDWARE & CO 55,-34.70,6134.15
2026-02-08,MOBILE NETWORK 20,-22.00,6112.15
2026-02-12,GREENGROCER LTD 3421,-77.36,6034.79
2026-02-19,THE DAILY LOAF,-27.43,6007.36
2026-02-26,GREENGROCER LTD 3421,-11.06,5996.30
2026-03-01,SALARY ACME LTD,3180.00,9176.30
2026-03-02,RENT WILSON PROPERTIES,-1100.00,8076.30
2026-03-03,STREAMLINE MUSIC P3A4X,-8.99,8067.31
2026-03-05,CITY WATER BOARD,-42.28,8025.03
2026-03-07,PHARMACY 77,-69.10,7955.93
2026-03-08,MOBILE NETWORK 20,-22.00,7933.93
2026-03-12,FUEL STOP 4102,-30.00,7903.93
2026-03-17,AUDIOBOOK CLUB,-7.99,7895.94
2026-03-19,PHARMACY 77,-6.65,7889.29
2026-03-26,PHARMACY 77,-14.54,7874.75
2026-04-01,SALARY ACME LTD,3180.00,11054.75
2026-04-02,RENT WILSON PROPERTIES,-1100.00,9954.75
2026-04-03,STREAMLINE MUSIC P4A4X,-11.99,9942.76
2026-04-05,CITY WATER BOARD,-42.34,9900.42
2026-04-07,GREENGROCER LTD 3421,-10.04,9890.38
2026-04-08,MOBILE NETWORK 20,-22.00,9868.38
2026-04-12,CORNER MARKET 118,-43.83,9824.55
2026-04-17,AUDIOBOOK CLUB,-7.99,9816.56
2026-04-19,PHARMACY 77,-9.12,9807.44
2026-04-22,HARDWARE & CO 55,-842.19,8965.25
2026-04-22,HARDWARE & CO 55,-842.19,8123.06
2026-04-26,FUEL STOP 4102,-57.65,8065.41
2026-05-01,SALARY ACME LTD,3180.00,11245.41
2026-05-02,RENT WILSON PROPERTIES,-1100.00,10145.41
2026-05-03,STREAMLINE MUSIC P5A4X,-11.99,10133.42
2026-05-05,CITY WATER BOARD,-42.40,10091.02
2026-05-07,FUEL STOP 4102,-36.20,10054.82
2026-05-08,MOBILE NETWORK 20,-22.00,10032.82
2026-05-09,CORNER MARKET 118,-31.50,10001.32
2026-05-09,CORNER MARKET 118,-31.50,9969.82
2026-05-12,PHARMACY 77,-42.48,9927.34
2026-05-14,CORNER MARKET 118,31.50,9958.84
2026-05-17,AUDIOBOOK CLUB,-7.99,9950.85
2026-05-19,HARDWARE & CO 55,-52.39,9898.46
2026-05-26,FUEL STOP 4102,-4.95,9893.51
2026-06-01,SALARY ACME LTD,3180.00,13073.51
2026-06-02,RENT WILSON PROPERTIES,-1100.00,11973.51
2026-06-03,STREAMLINE MUSIC P6A4X,-11.99,11961.52
2026-06-05,CITY WATER BOARD,-42.46,11919.06
2026-06-07,HARDWARE & CO 55,-18.12,11900.94
2026-06-08,MOBILE NETWORK 20,-22.00,11878.94
2026-06-12,FUEL STOP 4102,-49.77,11829.17
2026-06-17,AUDIOBOOK CLUB,-7.99,11821.18
2026-06-19,FUEL STOP 4102,-17.83,11803.35
2026-06-26,HARDWARE & CO 55,-45.81,11757.54
